time,local_date,sensor_id,pm10,pm25,no2,latitude,longitude
14,2023-10-20T14:00:00,4463,0.0,0.0,5.0,49.719281,5.630398
18,2023-10-20T18:00:00,4463,0.0,0.0,2.0,49.719281,5.630398
10,2023-10-21T10:00:00,4463,0.0,0.0,1.0,49.719281,5.630398
14,2023-10-21T14:00:00,4463,1.271,0.0,1.5,49.719281,5.630398
18,2023-10-21T18:00:00,4463,2.271,0.0,1.0,49.719281,5.630398
10,2023-10-22T10:00:00,4463,0.0,0.0,0.0,49.719281,5.630398
14,2023-10-22T14:00:00,4463,0.0,0.0,1.0,49.719281,5.630398
18,2023-10-22T18:00:00,4463,0.0,0.0,1.0,49.719281,5.630398
10,2023-10-23T10:00:00,4463,0.271,0.0,5.0,49.719281,5.630398
14,2023-10-23T14:00:00,4463,4.271,1.686,4.0,49.719281,5.630398
18,2023-10-23T18:00:00,4463,3.271,0.719,7.0,49.719281,5.630398
10,2023-10-24T10:00:00,4463,3.271,0.3595,6.5,49.719281,5.630398
14,2023-10-24T14:00:00,4463,2.271,0.3595,3.5,49.719281,5.630398
10,2023-10-25T10:00:00,4463,6.771,3.1365,10.0,49.719281,5.630398
14,2023-10-25T14:00:00,4463,0.0,0.0,3.5,49.719281,5.630398
18,2023-10-25T18:00:00,4463,0.0,0.0,2.5,49.719281,5.630398
10,2023-10-26T10:00:00,4463,8.771,4.587,4.5,49.719281,5.630398
14,2023-10-26T14:00:00,4463,1.271,0.3595,7.5,49.719281,5.630398
18,2023-10-26T18:00:00,4463,0.6355,0.0,3.0,49.719281,5.630398
10,2023-10-27T10:00:00,4463,0.0,0.0,3.0,49.719281,5.630398
14,2023-10-27T14:00:00,4463,1.271,0.0,2.0,49.719281,5.630398
18,2023-10-27T18:00:00,4463,0.0,0.0,1.5,49.719281,5.630398
10,2023-10-28T10:00:00,4463,1.271,0.0,1.5,49.719281,5.630398
14,2023-10-28T14:00:00,4463,0.1355,0.0,1.0,49.719281,5.630398
18,2023-10-28T18:00:00,4463,0.0,0.0,2.5,49.719281,5.630398
9,2023-10-29T09:00:00,4463,0.0,0.0,1.0,49.719281,5.630398
13,2023-10-29T13:00:00,4463,0.0,0.0,2.0,49.719281,5.630398
17,2023-10-29T17:00:00,4463,0.0,0.0,1.0,49.719281,5.630398
9,2023-10-30T09:00:00,4463,0.1355,0.0,2.5,49.719281,5.630398
13,2023-10-30T13:00:00,4463,0.0,0.0,3.5,49.719281,5.630398
17,2023-10-30T17:00:00,4463,2.271,0.0,-1.0,49.719281,5.630398
9,2023-10-31T09:00:00,4463,3.271,0.3595,2.5,49.719281,5.630398
13,2023-10-31T13:00:00,4463,1.271,0.0,2.5,49.719281,5.630398
17,2023-10-31T17:00:00,4463,0.771,0.0,2.0,49.719281,5.630398
10,2023-10-02T10:00:00,4861,-1,-1,29.0,51.2642897846451,4.34127999246466
14,2023-10-02T14:00:00,4861,-1,-1,34.5,51.2642897846451,4.34127999246466
18,2023-10-02T18:00:00,4861,-1,-1,31.0,51.2642897846451,4.34127999246466
10,2023-10-03T10:00:00,4861,-1,-1,26.0,51.2642897846451,4.34127999246466
14,2023-10-03T14:00:00,4861,-1,-1,36.5,51.2642897846451,4.34127999246466
18,2023-10-03T18:00:00,4861,-1,-1,37.5,51.2642897846451,4.34127999246466
10,2023-10-04T10:00:00,4861,-1,-1,18.5,51.2642897846451,4.34127999246466
14,2023-10-04T14:00:00,4861,-1,-1,14.5,51.2642897846451,4.34127999246466
18,2023-10-04T18:00:00,4861,-1,-1,13.5,51.2642897846451,4.34127999246466
10,2023-10-05T10:00:00,4861,-1,-1,20.5,51.2642897846451,4.34127999246466
14,2023-10-05T14:00:00,4861,-1,-1,25.5,51.2642897846451,4.34127999246466
18,2023-10-05T18:00:00,4861,-1,-1,16.0,51.2642897846451,4.34127999246466
10,2023-10-06T10:00:00,4861,-1,-1,-1.0,51.2642897846451,4.34127999246466
14,2023-10-06T14:00:00,4861,-1,-1,28.5,51.2642897846451,4.34127999246466
18,2023-10-06T18:00:00,4861,-1,-1,15.0,51.2642897846451,4.34127999246466
10,2023-10-07T10:00:00,4861,-1,-1,11.0,51.2642897846451,4.34127999246466
14,2023-10-07T14:00:00,4861,-1,-1,-1.0,51.2642897846451,4.34127999246466
