,sensor_id,local_date,lat,lon,co,no2,o3,pm10,pm25,so2
0,3036,2023-11-16T12:00:00+00:00,50.75,6.0500001907,208.6688232422,24.0513591766,35.9668769836,15.2380313873,5.5399718285,0.7269136310000001
1,3036,2023-11-16T13:00:00+00:00,50.75,6.0500001907,268.8740539551,27.2743339539,23.4844913483,13.0859031677,6.9433045387,1.2568080424999999
2,3036,2023-11-16T14:00:00+00:00,50.75,6.0500001907,300.7133178711,22.1638450623,17.4309368134,13.9587554932,8.6165847778,1.5420482159
3,3036,2023-11-16T15:00:00+00:00,50.75,6.0500001907,326.3175048828,22.7913398743,14.9799976349,13.4240779877,8.2293357849,1.531134367
4,3036,2023-11-16T16:00:00+00:00,50.75,6.0500001907,340.6200256348,33.2074279785,16.6871128082,13.6549911499,8.1397762299,1.523858428
5,3036,2023-11-16T17:00:00+00:00,50.75,6.0500001907,359.572845459,47.1120109558,13.7752590179,13.9697360992,8.946852684,2.3330812454
6,3036,2023-11-16T18:00:00+00:00,50.75,6.0500001907,322.27734375,37.4391517639,25.2423877716,14.0853290558,8.9532213211,4.8494257927
7,3036,2023-11-16T19:00:00+00:00,50.75,6.0500001907,305.8789672852,23.972234726,33.7480583191,19.4268989563,10.0985689163,5.9635567665
8,3036,2023-11-16T20:00:00+00:00,50.75,6.0500001907,357.0050354004,31.9490451813,12.6921644211,28.3186969757,12.0683670044,9.293671608
9,3036,2023-11-16T21:00:00+00:00,50.75,6.0500001907,372.408416748,31.4088420868,17.0614337921,24.5540390015,11.8899145126,4.6425156593
10,3036,2023-11-16T22:00:00+00:00,50.75,6.0500001907,332.6176452637,14.7338676453,32.0672836304,16.7578029633,11.3721618652,5.6309089661
11,3036,2023-11-16T23:00:00+00:00,50.75,6.0500001907,336.4703369141,15.2584114075,22.5307292938,25.408454895,18.3439464569,5.4626526833
12,3036,2023-11-17T00:00:00+00:00,50.75,6.0500001907,268.9849853516,15.1382837296,18.3929042816,27.4776496887,20.4412193298,1.4656506777
13,3036,2023-11-17T01:00:00+00:00,50.75,6.0500001907,197.5472412109,10.5156774521,29.0604248047,20.9437618256,18.5212745667,0.2316937745
14,3036,2023-11-17T02:00:00+00:00,50.75,6.0500001907,190.5138702393,11.6287136078,22.3811817169,18.3642520905,16.3691806793,0.1173248142
15,3036,2023-11-17T03:00:00+00:00,50.75,6.0500001907,187.227935791,11.1129875183,19.7870616913,28.5343227386,24.4849700928,0.0986801758
16,3036,2023-11-17T04:00:00+00:00,50.75,6.0500001907,188.3549499512,8.9196929932,22.1804523468,25.7763366699,22.6527786255,0.0909494683
17,3036,2023-11-17T05:00:00+00:00,50.75,6.0500001907,187.9083251953,9.1281528473,18.086774826,22.921503067,19.7918701172,0.1705302596
18,3036,2023-11-17T06:00:00+00:00,50.75,6.0500001907,228.5958404541,13.8536653519,14.5191192627,27.6694507599,24.7452831268,0.8321876526
19,3036,2023-11-17T07:00:00+00:00,50.75,6.0500001907,252.8361663818,15.2047510147,17.6824550629,26.2693309784,24.3536396027,2.3628671169
20,3036,2023-11-17T08:00:00+00:00,50.75,6.0500001907,301.5209350586,21.0415000916,12.7109375,29.9846973419,27.9610500336,2.9172041416
21,3036,2023-11-17T09:00:00+00:00,50.75,6.0500001907,322.2646179199,18.8565177917,16.8177375793,24.9242191315,24.2381324768,2.3592293262
22,3036,2023-11-17T10:00:00+00:00,50.75,6.0500001907,254.4628601074,14.1342144012,25.6700630188,10.9511213303,10.5470867157,0.6849632263000001
23,3036,2023-11-17T11:00:00+00:00,50.75,6.0500001907,200.2931976318,9.9985027313,33.0930290222,11.4496984482,10.3412752151,0.6475602388
24,3036,2023-11-17T12:00:00+00:00,50.75,6.0500001907,200.3089752197,10.6602802277,37.2283058167,11.4614439011,10.3800802231,0.7108837962
25,3036,2023-11-17T13:00:00+00:00,50.75,6.0500001907,206.3573455811,13.2737884521,35.8783950806,12.2265701294,10.8567419052,0.6224354506
26,3036,2023-11-17T14:00:00+00:00,50.75,6.0500001907,215.2643737793,16.3852005005,36.5120124817,15.1863965988,13.497505188,0.7362362742
27,3036,2023-11-17T15:00:00+00:00,50.75,6.0500001907,229.1231079102,20.1895313263,36.6032829285,16.4582691193,14.2974615097,1.2701092958
28,3036,2023-11-17T16:00:00+00:00,50.75,6.0500001907,246.5101776123,22.5345935822,31.1877746582,18.8103637695,15.0999088287,1.8110313416000001
29,3036,2023-11-17T17:00:00+00:00,50.75,6.0500001907,231.7207489014,19.9060821533,24.6804828644,18.579328537,13.0144538879,3.1031959057
30,3036,2023-11-17T18:00:00+00:00,50.75,6.0500001907,218.0651702881,13.3799171448,22.1727428436,18.1263599396,12.9724960327,3.8803591728
31,3036,2023-11-17T19:00:00+00:00,50.75,6.0500001907,225.1566467285,15.0174198151,19.8110923767,21.8685035706,16.3289794922,4.8898983002000005
32,3036,2023-11-17T20:00:00+00:00,50.75,6.0500001907,229.2090606689,14.1683998108,19.8876018524,26.9627227783,19.9550018311,4.591129303
33,3036,2023-11-17T21:00:00+00:00,50.75,6.0500001907,220.3174285889,11.3000173569,25.4479694366,29.4848556519,21.0050506592,3.3726336956000003
34,3036,2023-11-17T22:00:00+00:00,50.75,6.0500001907,210.6160125732,8.0073223114,32.4704589844,28.5973262787,19.0708045959,2.6275300980000003
35,3036,2023-11-17T23:00:00+00:00,50.75,6.0500001907,199.8053741455,7.7208428383,35.7293510437,25.4863567352,15.6878347397,1.7403180598999999
