time,local_date,pm10,pm25,no2,o3,so2,co_conc
14,2023-10-04T14:00:00+00:00,9.983196,4.578751,1.742604,66.23777,1.1605152,231.30208
15,2023-10-04T15:00:00+00:00,10.728937,4.900656,3.539062,65.362526,1.2569216,240.6
16,2023-10-04T16:00:00+00:00,11.88605,4.6269174,1.469794,65.369194,1.204171,248.10422
17,2023-10-04T17:00:00+00:00,10.960463,5.0948424,2.7945015,58.85171,1.2369128,260.5021
18,2023-10-04T18:00:00+00:00,13.257269,5.1961656,8.892437,47.561832,1.200533,289.0695
19,2023-10-04T19:00:00+00:00,12.661655,6.011363,3.7945359,43.742046,1.5388651,303.2069
20,2023-10-04T20:00:00+00:00,12.027692,5.632513,5.4025426,41.133404,1.4806573,299.3458
21,2023-10-04T21:00:00+00:00,13.510464,6.5400276,3.638009,40.43985,1.4279066,309.09167
22,2023-10-04T22:00:00+00:00,11.412413,6.7693286,3.9217799,39.17923,1.3642421,285.56647
23,2023-10-04T23:00:00+00:00,9.591939,4.2926826,6.1011724,35.621487,1.3278623,264.40182
