time,local_date,pm10,pm25,no2,o3,so2,co_conc,sensor_id
4,2023-10-04T04:00:00+00:00,15.584522,6.592674,21.86717,26.222382,6.4028425,267.20462,4878
5,2023-10-04T05:00:00+00:00,14.7347765,6.0224614,27.861475,17.105001,6.139089,278.98294,4878
6,2023-10-04T06:00:00+00:00,12.922667,6.6887217,37.487415,7.1610484,5.178663,284.77966,4878
7,2023-10-04T07:00:00+00:00,12.347517,6.933206,40.177544,2.5759826,5.5588317,335.6851,4878
8,2023-10-04T08:00:00+00:00,15.346492,8.098005,34.4003,12.919174,7.2941475,348.71164,4878
9,2023-10-04T09:00:00+00:00,17.092564,8.109735,27.384895,24.091156,10.051736,331.57977,4878
10,2023-10-04T10:00:00+00:00,22.542133,7.88976,25.345829,29.648046,8.372808,326.6711,4878
11,2023-10-04T11:00:00+00:00,18.04631,7.326457,21.440437,41.02765,7.7670846,353.23877,4878
12,2023-10-04T12:00:00+00:00,16.815617,7.8517666,18.402716,47.485794,6.213668,342.98477,4878
13,2023-10-04T13:00:00+00:00,17.635391,6.8538623,15.838864,49.838684,6.6174836,342.7539,4878
14,2023-10-04T14:00:00+00:00,18.554276,7.1071463,16.236311,46.981945,5.6079445,342.88614,4878
15,2023-10-04T15:00:00+00:00,18.252275,6.4140553,16.803131,50.061188,5.493348,332.5099,4878
16,2023-10-04T16:00:00+00:00,14.607259,6.245818,16.52375,53.429348,5.45333,328.31436,4878
17,2023-10-04T17:00:00+00:00,17.334202,6.0989246,19.612877,51.201042,5.547918,329.30356,4878
18,2023-10-04T18:00:00+00:00,16.74973,7.346211,27.799013,40.29315,3.8089638,333.4237,4878
19,2023-10-04T19:00:00+00:00,16.226873,7.666643,35.568638,35.68756,3.925379,321.9498,4878
20,2023-10-04T20:00:00+00:00,15.054489,7.1168084,26.011692,37.662773,3.8817234,352.6058,4878
21,2023-10-04T21:00:00+00:00,15.11845,5.9979687,23.424976,39.866867,3.76167,326.49576,4878
22,2023-10-04T22:00:00+00:00,12.532909,4.997633,21.082125,42.18784,4.332833,311.6435,4878
23,2023-10-04T23:00:00+00:00,12.196732,5.766064,19.463467,44.63458,5.260517,320.514,4878
